FENAME,编码SOC,FCNAME,ELEMID,k_un1990,k_un1991,k_un1992,k_un1993,k_un1994,k_un1995,k_un1996,k_un1997,k_un1998,k_un1999,k_un2000,k_un2001,k_un2002,k_un2003,k_un2004,k_un2005,k_un2006,k_un2007,k_un2008,k_un2009,k_un2010,k_un2011,k_un2012,k_un2013,k_un2014,k_un2015,k_un2016,k_un2017,k_un2018,k_un2019,k_un2020
Aruba,ABW,阿鲁巴,32,65712,67864,70192,72360,74710,77050,79417,81858,84355,86867,89101,90690,91781,92701,93540,94483,95606,96787,97996,99212,100342,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585
Afghanistan,AFG,阿富汗,200,10694796,10745167,12057433,14003760,15455554,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769498,38972230
Angola,AGO,安哥拉,113,11828638,12228690,12632507,13038270,13462031,13912252,14383350,14871146,15366864,15870752,16394062,16941587,17516139,18124342,18771125,19450959,20162340,20909684,21691522,22507674,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486
Anguilla,AIA,安圭拉,16,8316,8616,8887,9121,9356,9600,9863,10132,10416,10722,11047,11344,11560,11744,11934,12128,12325,12524,12730,12946,13172,13342,13455,13700,14120,14525,14813,15015,15181,15380,15585
Albania,ALB,阿尔巴尼亚,187,3295066,3302081,3303739,3300711,3293999,3284364,3271331,3253719,3232175,3208260,3182020,3153612,3123551,3092991,3062622,3032634,3003387,2976084,2951689,2930541,2913400,2900654,2892193,2887014,2884102,2882480,2881063,2879355,2877013,2873884,2866848
Andorra,AND,安道尔,183,53569,55434,57283,59156,61037,62928,64147,64682,65186,65655,66098,67820,70848,73908,76933,79826,80220,78168,76055,73852,71519,70568,71012,71366,71622,71746,72540,73836,75013,76343,77700
"United Arab Emirates,ANT",ARE,阿联酋,234,1900151,2008383,2116231,2223284,2329024,2433988,2572735,2746118,2921130,3097563,3275333,3454198,3633654,3813443,3993339,4280993,4898954,5872624,6988684,7992644,8481771,8575205,8664970,8751848,8835952,8916899,8994263,9068296,9140170,9211657,9287289
Argentina,ARG,阿根廷,141,32637657,33105763,33568285,34027240,34488696,34946110,35389362,35815971,36233195,36653031,37070774,37480492,37885028,38278164,38668796,39070501,39476850,39876112,40273769,40684338,41100123,41520740,41952365,42388269,42824054,43257065,43668241,44054616,44413596,44745520,45036032
Republic of Armenia,ARM,亚美尼亚,197,3556539,3617631,3574556,3457349,3373713,3322782,3298898,3271418,3240550,3206030,3168523,3133134,3105038,3084102,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976,2914421,2901384,2889930,2878595,2865835,2851923,2836557,2820602,2805608
American Samoa,ASM,美属萨摩亚,48,47818,48992,50078,51174,52288,53401,54500,55578,56603,57594,58230,58324,58177,57940,57626,57254,56837,56382,55891,55366,54850,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189
Antigua and Barbuda,ATG,安提瓜和巴布达,19,63328,63634,64659,65834,67072,68398,69798,71218,72572,73821,75055,76215,77195,78074,78941,79869,80896,82016,83251,84534,85695,86729,87674,88497,89236,89940,90564,91119,91626,92116,92664
Commonwealth of Australia,AUS,澳大利亚,49,17048003,17271086,17462504,17631511,17805504,18002999,18211845,18410250,18601667,18800892,19017963,19248143,19475844,19698999,19925056,20171731,20467030,20830828,21247873,21660892,22019168,22357034,22729269,23111782,23469579,23820236,24195701,24590334,24979230,25357170,25670051
Republic of Austria,AUT,奥地利,169,7678729,7755638,7840816,7905278,7935365,7947296,7958041,7967093,7975862,7991376,8010428,8039626,8078992,8120104,8171217,8227034,8267763,8294722,8321132,8342936,8362829,8391200,8429636,8479539,8546066,8642421,8736487,8797496,8840512,8879940,8907777
